date;type;description;transferred
9/sep;maandag;Ganesh Chaturthi/Vinayaka Chaturthi;Restricted Holiday
16/sep;maandag;Onam;Restricted Holiday
23/sep;maandag;September Equinox;Season
;;;
2/okt;woensdag;Mahatma Gandhi Jayanti;Gazetted Holiday
11/okt;vrijdag;Maha Saptami;Restricted Holiday
12/okt;zaterdag;Maha Ashtami;Restricted Holiday
13/okt;zondag;Dussehra;Gazetted Holiday
16/okt;woensdag;Bakr Id/Eid ul-Adha;Gazetted Holiday
18/okt;vrijdag;Maharishi Valmiki Jayanti;Restricted Holiday
22/okt;dinsdag;Karaka Chaturthi (Karva Chauth);Restricted Holiday
31/okt;donderdag;Halloween;Observance
;;;
2/nov;zaterdag;Naraka Chaturdasi;Restricted Holiday
3/nov;zondag;Diwali/Deepavali;Gazetted Holiday
4/nov;maandag;Govardhan Puja;Restricted Holiday
5/nov;dinsdag;Bhai Duj;Restricted Holiday
8/nov;vrijdag;Chhat Puja (Pratihar Sashthi/Surya Sashthi);Restricted Holiday
14/nov;donderdag;Muharram/Ashura;Gazetted Holiday
17/nov;zondag;Guru Nanak Jayanti;Gazetted Holiday
24/nov;zondag;Guru Tegh Bahadur's Martyrdom Day;Restricted Holiday
28/nov;donderdag;First Day of Hanukkah;Observance
;;;
5/dec;donderdag;Last day of Hanukkah;Observance
21/dec;zaterdag;December Solstice;Season
24/dec;dinsdag;Christmas Eve;Restricted Holiday
25/dec;woensdag;Christmas;Gazetted Holiday
31/dec;dinsdag;New Year's Eve;Observance
1/jan;woensdag;New Year's Day;Restricted Holiday
7/jan;dinsdag;Guru Govind Singh Jayanti;Restricted Holiday
14/jan;dinsdag;Pongal;Restricted Holiday
14/jan;dinsdag;Makar Sankranti;Restricted Holiday
14/jan;dinsdag;Milad un-Nabi/Id-e-Milad;Gazetted Holiday
26/jan;zondag;Republic Day;Gazetted Holiday
31/jan;vrijdag;Chinese New Year;Observance
;;;
4/feb;dinsdag;Vasant Panchami;Restricted Holiday
14/feb;vrijdag;Guru Ravidas Jayanti;Restricted Holiday
14/feb;vrijdag;Valentine's Day;Observance
19/feb;woensdag;Shivaji Jayanti;Restricted Holiday
24/feb;maandag;Maharishi Dayanand Saraswati Jayanti;Restricted Holiday
27/feb;donderdag;Maha Shivaratri/Shivaratri;Gazetted Holiday
;;;
16 mrt;zondag;Holi;Gazetted Holiday
16 mrt;zondag;Holika Dahana;Restricted Holiday
17 mrt;maandag;Holi;Restricted Holiday
20 mrt;donderdag;March Equinox;Season
31 mrt;maandag;Chaitra Sukhladi;Restricted Holiday
;;;
8/apr;dinsdag;Rama Navami;Gazetted Holiday
13/apr;zondag;Mahavir Jayanti;Gazetted Holiday
14/apr;maandag;Vaisakhi;Restricted Holiday
14/apr;maandag;Ambedkar Jayanti;Observance
15/apr;dinsdag;First day of Passover;Observance
15/apr;dinsdag;Mesadi/Vaisakhadi;Restricted Holiday
17/apr;donderdag;Maundy Thursday;Observance, Christian
18/apr;vrijdag;Good Friday;Gazetted Holiday
20/apr;zondag;Easter Day;Restricted Holiday
;;;
1/mei;donderdag;May Day;Observance
9/mei;vrijdag;Birthday of Ravindranath;Restricted Holiday
11/mei;zondag;Mother's Day;Observance
13/mei;dinsdag;Hazarat Ali's Birthday;Restricted Holiday
14/mei;woensdag;Buddha Purnima/Vesak;Gazetted Holiday
;;;
15/jun;zondag;Father's Day;Observance
21/jun;zaterdag;June Solstice;Season
29/jun;zondag;Rath Yatra;Restricted Holiday
;;;
25/jul;vrijdag;Jamat Ul-Vida;Restricted Holiday
29/jul;dinsdag;Ramzan Id/Eid-ul-Fitar;Muslim, Common local holiday
;;;
3/aug;zondag;Friendship Day;Observance
10/aug;zondag;Raksha Bandhan (Rakhi);Restricted Holiday
15/aug;vrijdag;Independence Day;Gazetted Holiday
17/aug;zondag;Janmashtami;Gazetted Holiday
18/aug;maandag;Parsi New Year;Restricted Holiday
29/aug;vrijdag;Ganesh Chaturthi/Vinayaka Chaturthi;Restricted Holiday
;;;
7/sep;zondag;Onam;Restricted Holiday
23/sep;dinsdag;September Equinox;Season
;;;
1/okt;woensdag;Maha Saptami;Restricted Holiday
2/okt;donderdag;Mahatma Gandhi Jayanti;Gazetted Holiday
2/okt;donderdag;Maha Ashtami;Restricted Holiday
3/okt;vrijdag;Dussehra;Gazetted Holiday
6/okt;maandag;Bakr Id/Eid ul-Adha;Gazetted Holiday
