date,type,description,transferred
2013-aug-4,zondag,Friendship Day,Observance
2013-aug-9,vrijdag,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
2013-aug-15,donderdag,Independence Day,Gazetted Holiday
2013-aug-18,zondag,Parsi New Year,Restricted Holiday
2013-aug-20,dinsdag,Raksha Bandhan (Rakhi),Restricted Holiday
2013-aug-28,woensdag,Janmashtami,Gazetted Holiday
2013-sep-9,maandag,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2013-sep-16,maandag,Onam,Restricted Holiday
2013-sep-23,maandag,September Equinox,Season
2013-okt-2,woensdag,Mahatma Gandhi Jayanti,Gazetted Holiday
2013-okt-11,vrijdag,Maha Saptami,Restricted Holiday
2013-okt-12,zaterdag,Maha Ashtami,Restricted Holiday
2013-okt-13,zondag,Dussehra,Gazetted Holiday
2013-okt-16,woensdag,Bakr Id/Eid ul-Adha,Gazetted Holiday
2013-okt-18,vrijdag,Maharishi Valmiki Jayanti,Restricted Holiday
2013-okt-22,dinsdag,Karaka Chaturthi (Karva Chauth),Restricted Holiday
2013-okt-31,donderdag,Halloween,Observance
2013-nov-2,zaterdag,Naraka Chaturdasi,Restricted Holiday
2013-nov-3,zondag,Diwali/Deepavali,Gazetted Holiday
2013-nov-4,maandag,Govardhan Puja,Restricted Holiday
2013-nov-5,dinsdag,Bhai Duj,Restricted Holiday
2013-nov-8,vrijdag,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
2013-nov-14,donderdag,Muharram/Ashura,Gazetted Holiday
2013-nov-17,zondag,Guru Nanak Jayanti,Gazetted Holiday
2013-nov-24,zondag,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
2013-nov-28,donderdag,First Day of Hanukkah,Observance
2013-dec-5,donderdag,Last day of Hanukkah,Observance
2013-dec-21,zaterdag,December Solstice,Season
2013-dec-24,dinsdag,Christmas Eve,Restricted Holiday
2013-dec-25,woensdag,Christmas,Gazetted Holiday
2013-dec-31,dinsdag,New Year's Eve,Observance
2014-jan-1,woensdag,New Year's Day,Restricted Holiday
